ALF,AS,LRII,LRIC,Rho,CT,C,CRPa,CRPe,DLI,DLC,TRI,Failure
0.114612443,2.872131148,0,0.3623,0.0245,2,DE,0.104918033,0.062622951,1.683467742,1.683467742,0.551814033,Flexure-shear
0.114612443,2.872131148,0,0.3623,0.0245,2,DE,0.104918033,0.062622951,1.683467742,1.683467742,0.346236256,Flexure-shear
0.114612443,2.872131148,0,0.3623,0.0245,2,DE,0.104918033,0.062622951,1.683467742,1.683467742,0.346236256,Flexure-shear
0.098632171,5.495081967,0,0.2062,0.0163,2,DE,0.104918033,0.104918033,1.57493188,1.57493188,0.3052826,Flexure
0.093491732,5.495081967,0,0.1955,0.0163,2,DE,0.104918033,0.104918033,1.57493188,1.57493188,0.173167559,Flexure
0.09829439,5.495081967,0,0.2055,0.0163,2,DE,0.104918033,0.104918033,1.57493188,1.57493188,0.304237111,Flexure
0.103992615,5.495081967,0,0.2542,0.0163,2,DE,0.104918033,0.104918033,1.531468531,1.531468531,0.192617539,Flexure
0.195251441,5.495081967,0,0.2386,0.0163,2,DE,0.104918033,0.104918033,1.531468531,1.531468531,0.326307572,Flexure
0.180515483,5.495081967,0,0.2206,0.0163,2,DE,0.104918033,0.104918033,1.531468531,1.531468531,0.180533264,Flexure
0.258576233,5.495081967,0,0.1783,0.0163,2,DE,0.104918033,0.104918033,1.550964187,1.550964187,0.28809137,Flexure
0.265758906,5.495081967,0,0.1832,0.0163,2,DE,0.104918033,0.104918033,1.550964187,1.550964187,0.177190055,Flexure
0.277760921,5.495081967,0,0.1915,0.0163,2,DE,0.104918033,0.104918033,1.550964187,1.550964187,0.294466269,Flexure
0.270773225,5.495081967,0,0.1867,0.0163,2,DE,0.104918033,0.104918033,1.550964187,1.550964187,0.171782927,Flexure
0.16225726,1.109756098,0.114023555,0.2661,0.0301,6,DC,0.06097561,0.06097561,1.689342404,1.689342404,0.131133668,Shear
0.16225726,1.97826087,0.114023555,0.2661,0.0301,6,DC,0.108695652,0.108695652,1.689342404,1.689342404,0.073562789,Shear
0.269656113,1.109756098,0.094748144,0.2211,0.0301,6,DC,0.06097561,0.06097561,1.689342404,1.689342404,0.217931667,Shear
0.103543209,1.498360656,0.094226477,0.2827,0.0244,3,DC,0.081967213,0.081967213,1.670995671,1.670995671,0.048917827,Shear
0.205902564,3.002188184,0.054225261,0.1627,0.0194,3,DE,0.083369803,0.083369803,1.676537585,1.676537585,0.42712789,Flexure
0.310387508,3.002188184,0.053544039,0.1606,0.0194,3,DE,0.090371991,0.090371991,1.676537585,1.676537585,0.320207896,Flexure
0,2.857142857,0.079071602,0.2372,0.0321,2,C,0.064285714,0.064285714,1.537209302,1.537209302,0.12906447,Flexure
0.140745954,2.857142857,0.09906672,0.2972,0.0321,2,C,0.064285714,0.064285714,1.537209302,1.537209302,0.323402924,Flexure
0.153061224,2.857142857,0.109739431,0.3292,0.0321,2,C,0.064285714,0.064285714,1.50913242,1.50913242,0.52755102,Flexure
0.131312579,2.857142857,0.093931483,0.2818,0.0321,6,C,0.074285714,0.074285714,1.512585812,1.512585812,0.386842816,Flexure
0.125588697,2.857142857,0.089837034,0.2695,0.0321,6,C,0.074285714,0.074285714,1.512585812,1.512585812,0.369980437,Flexure
0.3,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.115321905,Flexure
0.3,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.115321905,Flexure
0.2,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.115321905,Flexure
0.2,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.115321905,Flexure
0.2,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.172982857,Flexure
0.3,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.172982857,Flexure
0.3,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.172982857,Flexure
0.2,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.172982857,Flexure
0.2,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.345965714,Flexure
0.3,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.345965714,Flexure
0.2,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.345965714,Flexure
0.3,4.56,0.027028571,0.0541,0.0151,4,DE,0.12,0.12,1.537209302,1.537209302,0.345965714,Flexure
0.2,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.115321905,Flexure
0.3,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.115321905,Flexure
0.3,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.115321905,Flexure
0.2,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.115321905,Flexure
0.2,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.172982857,Flexure
0.2,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.172982857,Flexure
0.3,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.172982857,Flexure
0.3,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.172982857,Flexure
0.2,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.345965714,Flexure
0.2,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.345965714,Flexure
0.3,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.345965714,Flexure
0.3,4.56,0.108114286,0.2162,0.0603,4,DE,0.12,0.12,1.537209302,1.537209302,0.345965714,Flexure
0.097542252,3.827868852,0.142569,0.224,0.0222,6,C,0.045901639,0.045901639,1.631696429,1.631696429,0.170367094,Flexure
0.238700959,3.827868852,0.142569,0.224,0.0222,6,C,0.045901639,0.045901639,1.631696429,1.631696429,0.170367094,Flexure
0.092268768,3.827868852,0.138002733,0.2169,0.0222,6,C,0.040983607,0.040983607,1.631696429,1.631696429,0.21855608,Flexure
0.232437461,3.827868852,0.138002733,0.2169,0.0222,6,C,0.040983607,0.040983607,1.631696429,1.631696429,0.21855608,Flexure
0.08945472,3.222222222,0.093543186,0.2806,0.0303,2,DC,0.083333333,0.083333333,1.498489426,1.498489426,0.040344889,Shear
